Sample,NRI,NTI
ICR_5_pp1,-8.360222267,-7.7050201
ICR_6_pp2,-0.531266127,-3.800425975
ICR_7_pp1,-4.03997817,-4.168484479
ICR_7_pp2,-5.087922381,-4.927584103
ICR_7_pp3,-5.711473037,-6.369331707
ICR_8_pp1,-3.218260145,-4.205316109
ICR_8_pp2,-5.177448386,-5.660949537
ICR_9_pp1,-12.91822601,-10.05009427
ICR_9_pp2,-12.9167704,-11.64665113
ICR_9_pp3,-7.126114455,-8.720911631
River_at_ICR2p1,-14.5696407,-11.03266801
River_at_ICR2p2,-14.08219624,-10.87298009
River_at_ICR3,-14.90577307,-11.42342332
River_at_ICR6,-15.16451237,-11.63232465
River_at_ICR7,-17.87155956,-12.51438465
River_at_ICR8,-13.19403874,-9.857817043
River_at_ICR9,-11.85628654,-10.4677701
ICR_1_pp1,-17.83633786,-14.10578899
ICR_2_pp1,-10.76366282,-10.3154739
ICR_3_pp1,-19.94480413,-12.98136847
ICR_4_pp1,-13.97934096,-10.40005676
