Sample,Type,PD,SR,MPD,MNTD,VPD,VNTD
ICR_5_pp1,Pushpoint,58.0946054593756,2582,0.604937389982962,0.0909675037175627,0.315123633290536,0.0523923752562478
ICR_6_pp2,Pushpoint,52.1268770517746,2529,0.623793391783602,0.118136315061234,0.341404881757034,0.0806860179315986
ICR_7_pp1,Pushpoint,46.4011962087214,2553,0.570830409658352,0.091453824892173,0.29153852336031,0.0617520702249568
ICR_7_pp2,Pushpoint,45.0383934192236,2600,0.576257633034103,0.121023654934279,0.411330413530481,0.100684281401984
ICR_7_pp3,Pushpoint,57.6618006433579,2630,0.712450197150407,0.127327846790839,0.449167140946859,0.0801834845732711
ICR_8_pp1,Pushpoint,47.9611300824554,2676,0.964441650518037,0.201789751487639,0.735009562533751,0.125652650988985
ICR_8_pp2,Pushpoint,42.106617442627,2610,0.735740002491052,0.171395632774762,0.62731287836499,0.134325542948757
ICR_9_pp1,Pushpoint,52.1750030608609,2661,0.734554150260214,0.14939622720881,0.566769434649732,0.0921063729708499
ICR_9_pp2,Pushpoint,45.7128576217998,2461,0.757126651678812,0.15655924935676,0.52017520316996,0.0983236844678742
ICR_9_pp3,Pushpoint,43.3762060219939,2527,0.835727293241357,0.183984933496715,0.691454568749475,0.118635109637011
River_at_ICR2p1,River,49.6816548355827,2685,0.704178677028762,0.162069166932185,0.540111019654332,0.118464203014807
River_at_ICR2p2,River,45.8076657786117,2454,0.647370803937674,0.133148014372036,0.447993000523484,0.102914037567089
River_at_ICR3,River,42.6697554660532,2328,0.603362770752313,0.111672816589091,0.379162461309327,0.0765468443365577
River_at_ICR6,River,40.9894424650189,2643,0.708325274745234,0.145705469286118,0.449737137422949,0.105949558133845
River_at_ICR7,River,50.0267480408405,2529,0.577560516939522,0.109674199922004,0.424060329643695,0.0741076065725466
River_at_ICR8,River,41.6763102978499,2547,0.568590895260145,0.113308108056136,0.47993109502518,0.0844972479790944
River_at_ICR9,River,41.1191495075902,2577,0.532994152473876,0.10264774961135,0.4110970862734,0.0777515269054883
ICR_1_pp1,Pushpoint,62.5804061788416,2526,0.520221379906682,0.100019922581894,0.363301182609794,0.0655069106440272
ICR_2_pp1,Pushpoint,47.4648220271214,1838,0.55554804316941,0.10015490276201,0.336015376089383,0.072875674591367
ICR_3_pp1,Pushpoint,55.7351472604723,2102,0.571990570053697,0.119588922247664,0.463856909109961,0.0854437717281336
ICR_4_pp1,Pushpoint,49.0006427055722,2638,0.594398538814426,0.118814891644847,0.384372846297943,0.0902885424344802
