Sample,NRI,NTI
ICR_5_pp1,-6.223585681,-5.184801578
ICR_6_pp2,0.616518956,-1.558091224
ICR_7_pp1,-4.156400107,-3.083886039
ICR_7_pp2,-4.323416366,-4.428073826
ICR_7_pp3,-4.325412325,-3.129497042
ICR_8_pp1,-1.986905388,-2.383570973
ICR_8_pp2,-4.586933729,-3.807293332
ICR_9_pp1,-7.927937111,-4.799663682
ICR_9_pp2,-8.755206857,-6.78382698
ICR_9_pp3,-4.878243736,-4.751004053
River_at_ICR2p1,-10.19162379,-6.853393379
River_at_ICR2p2,-9.758763556,-6.616195209
River_at_ICR3,-10.50864142,-7.698123876
River_at_ICR6,-10.71365859,-8.307326041
River_at_ICR7,-11.54451042,-8.124225876
River_at_ICR8,-8.884817135,-6.394952991
River_at_ICR9,-8.15775747,-6.370979968
ICR_1_pp1,-11.84607674,-8.665870304
ICR_2_pp1,-8.197996449,-6.550544154
ICR_3_pp1,-11.98355402,-8.877809404
ICR_4_pp1,-10.04902932,-5.895762986
