,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
Stegen_ICR_5_pp1_Nov20_1_01_24960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_6_pp1_Nov20_1_01_24954,0.143554199429708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_6_pp2_Nov20_1_01_24949,-1.59322440295617,0.281302459114326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_6_pp3_Nov20_1_01_24963,-0.985066524942961,0.728891794686433,-1.08040468561868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_7_pp1_Nov20_1_01_24969,-1.40047720409596,0.150823814010993,-1.22817299515813,-0.723025320737219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_7_pp2_Nov20_1_01_24970,-1.61689041393426,0.22999385554931,-1.47894893314803,-0.587324214494128,-1.34958912376143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_7_pp3_Nov20_1_01_24952,-1.07358463511179,-0.431471024077218,-1.56864317706463,-1.24355654605664,-1.40783470860992,-0.474244830656289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_8_pp1_Nov20_1_01_24966,-1.18326712562146,0.626044762095425,-0.867436536241996,0.0844748822222421,-0.561267848693743,-0.43642438533944,-0.516963057737928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_8_pp2_Nov20_1_01_24959,-1.51412942125144,-0.173026807007136,-1.76799366535522,-0.865249199901253,-0.819642581607627,-0.502461911924582,-1.40478191846666,0.402697432436358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_8_pp3_Nov20_1_01_24947,1.4076453181696,-2.64079205091261,1.12963748392102,1.39424994227107,1.57568056621703,1.56288061193259,1.13136070627118,1.80252209670485,0.775940411579766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_9_pp1_Nov20_1_01_24951,-0.859805417959305,-0.608929388024096,-1.83936518143923,-1.41534565230859,-1.25042688321178,-1.13952039262081,-1.04274469107597,-0.847879016054534,-1.56191905024485,0.820770187702956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_9_pp2_Nov20_1_01_24946,0.274059631090637,-0.269501552596568,-1.45838398568829,-0.630314986574321,-0.426442262619586,-0.204366430192415,-0.220861040877238,-1.13218340394862,-0.502860577511726,1.29104744382819,0.471337894514492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_9_pp3_Nov20_1_01_24955,-0.682073241298486,-0.290530916433241,-1.58147544617418,-1.16753643114953,-0.791325366788256,-0.564000676601492,-0.885870190809508,-0.231949898565199,-0.903555717736204,1.20061238596686,-0.743224125938335,-0.422830955067322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp1_Nov20_1_01_24948,1.77111698266226,3.08279903167805,0.525043628915351,1.67525526684629,1.70981853753124,1.58180975866087,1.38365294670849,1.80576151610549,0.694256199502433,3.04537447318607,1.58934755796223,2.17329458266486,2.18903205807759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp2_Nov20_1_01_24965,0.0758824899912343,0.138656364788152,-0.373663732941196,-0.611757787096245,0.412559119599458,0.564329127252356,-0.291582585985881,0.672024137879984,-1.14136840982553,0.804366968406433,-0.264764634121052,0.286137560810545,0.0693524367141857,0.529724510259826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp3_Nov20_1_01_24950,1.3198995121169,2.28334917509011,-0.44458198911397,1.39009069721851,1.18047324305154,1.24841895044313,0.982417564146058,1.66224893444938,-0.0195798731286544,2.92186564677587,0.954126707938906,1.82853667763774,1.17124886224614,-0.492834625176295,-0.394912504694644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR2p1_Nov20_1_01_24962,-0.989170755723983,-0.709185257031341,-1.9412753953915,-1.19110820323857,-1.66270716196246,-1.44667279636621,-1.34258434942484,-1.33660064980547,-1.4667005641867,0.788328983162734,-1.49175460692678,0.0762396616368142,-0.996194791295758,1.94848447176725,-0.328084331043588,1.39783378756859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR2p2_Nov20_1_01_24968,-0.145174944055244,-0.123359006729146,-1.49250712383871,-0.933521160503884,-1.01222799019537,-0.753118087590276,-0.87190376374094,-1.38994126941493,-0.934049839034151,1.22376826928151,0.0913655775080625,-0.309481026568535,-0.61906633736192,2.42448393587488,0.358480769287935,1.98408417183338,1.13966887450228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR3_Nov20_1_01_24971,0.121808152027577,0.151204921238855,-1.07273214185743,-0.611833856663612,-0.857491818635147,-0.592328615099388,-0.40749294641412,-1.3125199771771,-0.525894487714107,1.53136259168498,-0.33635684680269,-0.0616024804601137,-0.33471456813353,2.45464591216829,0.685309813011035,2.03436684290003,-0.224259323858086,-1.04025788005639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR6_Nov20_1_01_24958,-1.10917086971666,-0.575306801739806,-1.97844554180858,-1.19105698169571,-1.72939151003209,-1.48440966014756,-1.48314155589938,-1.29437114179823,-1.2946145120437,0.876865737418139,-0.627263557380478,-0.014729129401928,-1.00610777107549,1.99692426267426,-0.313088616428904,1.39431758229225,-0.499244167614882,-0.519046026301662,-0.122468344411638,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR7_Nov20_1_01_24945,-0.924758732845395,-0.63370573832883,-2.07410661646152,-1.06658889884702,-1.38668845951325,-1.2896915033839,-1.02158414319471,-1.29616787907048,-1.06293727969751,0.732705984188664,-0.857032919688545,-0.439754788454041,-0.919784280765864,1.9897440160151,-0.20651769460329,1.49403187011436,-0.956604892433556,0.102855178329628,-0.604633248362759,-0.82812623240942,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR8_Nov20_1_01_24957,-0.930617365597385,0.0257979065031834,-1.68623895678762,-1.10728409289339,-0.70222113981582,-0.884852810023176,-0.552540683659126,-0.0790136922979805,-1.01812825123238,1.42381347960411,-1.50941418543595,0.224741280599049,-0.459497198429794,1.83118974362454,0.4838118414603,1.2090820914839,-0.735863831986799,-0.235474078386098,-0.426505072594506,-0.0727209559411914,-0.918288580598082,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR9_Nov20_1_01_24956,-0.232191227408498,-0.712704109798019,-1.34085903653077,-1.22164730725383,-0.692328926964593,-0.572129587406263,-0.288889605644735,-0.227539392040205,-0.697112169372394,0.575850225018377,0.642323052651194,0.0276482358999785,-1.3368631168647,1.41268166450585,-0.312814730349679,0.693746938092574,0.155826685435772,0.0916131702245664,0.218559474528362,-0.12106281377294,-0.157837616550874,-0.639497045668927,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR10_Nov20_1_01_24964,-1.09029461047909,0.690943864311615,-1.62212168175999,-1.10097183194961,-1.20775239288822,-0.948714152012237,-1.08047788452693,-0.742541140866369,-1.47593470224551,1.35847752654439,-1.52345289563205,-0.808583956839344,-1.14274368624399,0.640147499797975,-0.983909396396006,-0.178294331981342,-1.26204641967526,-0.843820352096934,-0.61438856877983,-1.36216425487862,-1.06340547448936,-1.35193512513487,-1.33793924929757,NA,NA,NA,NA,NA
Stegen_ICR_1_pp1_Nov20_1_01_24967,-0.305903219506368,-0.712687049323683,-1.56373412070399,-0.985013959766961,-0.899840825784885,-1.10943273712875,-0.850981832932735,-1.47878482898628,-1.06645851593647,0.716631174865206,-0.228803036082778,-1.06772973666749,-0.819429253898902,1.9734097785971,-0.31244916617813,1.4162757296243,0.102976394328389,-0.894490302436567,-0.831444818683748,-0.480008288951945,-0.547057496820193,-0.306935326545215,-0.0428381775226904,-1.00467748997834,NA,NA,NA,NA
Stegen_ICR_2_pp1_Nov20_1_01_24953,-1.27251799480167,-0.787991847952029,-1.66968402054189,-1.12064509529285,-1.48512040799315,-1.07975431740341,-1.38781770723447,-0.686969050479521,-1.48263955702061,0.677511684134723,-1.04295798816248,-0.782786063988006,-0.717552024086808,1.57672203634838,-0.123712452647492,1.14007105454771,-1.69613516059329,-1.33209925312671,-1.04524355154494,-1.3716094564278,-1.68907340551217,-1.24684366389166,-0.991437889558219,-1.18038993801511,-1.50240314785173,NA,NA,NA
