,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
Stegen_ICR_5_pp1_Nov20_1_01_24960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_6_pp1_Nov20_1_01_24954,1.64684426290545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_6_pp2_Nov20_1_01_24949,1.47575518057435,3.15370677615039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_6_pp3_Nov20_1_01_24963,3.54090832254105,1.44122826335086,1.29607472438451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_7_pp1_Nov20_1_01_24969,1.95932692993084,2.50232043685162,2.7550705019344,2.62678463811671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_7_pp2_Nov20_1_01_24970,1.98879116026908,3.11738417776433,2.41108092252389,1.99699579921917,1.38623508910807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_7_pp3_Nov20_1_01_24952,-0.108166978658175,2.09092038897318,1.60319515462764,2.63652111467981,1.38588796175525,0.3531536509534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_8_pp1_Nov20_1_01_24966,1.4091917855995,3.4733243558491,1.80328200891247,4.12689427625053,0.343474088581165,0.222713634363852,0.910808825222909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_8_pp2_Nov20_1_01_24959,1.54321103983786,1.24240760054711,2.2082528693904,-0.69796612753411,3.37388530949347,2.91340133050816,2.08419322632294,1.92576990433717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_8_pp3_Nov20_1_01_24947,1.89085262021775,3.46646040187415,2.71901003481874,2.73486148278709,2.51984757654586,3.26497406689332,2.84240356830419,2.9536391225224,1.81714962138728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_9_pp1_Nov20_1_01_24951,-0.440943071310307,2.22914134369178,0.595202559270329,2.00155470202038,0.447781431403633,0.770317167563883,-0.892921793957073,-0.951374869939561,0.961912516163723,1.88557905370544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_9_pp2_Nov20_1_01_24946,-1.23255160261337,0.353504068762425,0.0455739452982959,0.297903768108221,1.25124160706795,1.62969578031606,-0.903343710608048,1.10661153445484,0.797141690832624,0.158798750804226,-2.41206701385318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_9_pp3_Nov20_1_01_24955,-0.666879447280466,-0.142700139143738,-0.852142278782099,0.0748351273639167,1.97028531168021,1.52900261550016,-0.144570072556187,1.20854122120226,-0.326199971562667,0.112320008873416,-1.63071129420092,-2.80959208882668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp1_Nov20_1_01_24948,2.40279696266474,1.10198543092042,1.61805882137832,0.620748238855438,1.6855754549011,2.90427949618257,2.20313114334266,2.26079882708704,0.968349760020949,0.760478675355553,1.4768945567187,1.14184932380673,0.59051096393736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp2_Nov20_1_01_24965,0.927540934434334,0.37899041040618,0.792040611415448,-0.499438524666234,2.83819149006609,2.59526101014266,1.43129301487583,2.03653061381363,-0.472929174572011,0.825931936047685,1.3487972153187,0.676038233892247,-0.767667604960402,-0.327831078919681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_ICR_10_pp3_Nov20_1_01_24950,-0.127208828400753,-0.492269234725697,2.78461812421279,0.505097617979016,4.25802984320485,3.33761004348694,1.50344121137783,3.03933783966193,0.151894177503534,0.117879666423362,0.989998182179531,-0.693740055905619,-0.846729461614975,1.18524291099895,0.808543646602156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR2p1_Nov20_1_01_24962,-0.211605572362316,1.21141255052163,1.57132367077882,0.604909191383222,1.04838964770503,1.37134948097706,-0.0330953759810756,0.564013136876042,0.59140568949252,1.95177592608182,-0.257587632911468,-0.857457062719176,-1.38566856367007,1.15282299827738,-0.438512387428689,1.25905904769456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR2p2_Nov20_1_01_24968,0.727582196744508,0.755350067746404,0.862973053849792,0.0903020930978314,0.129125998280659,0.0661547577324253,-0.401793077906994,-0.752075026082487,0.0817667789727528,1.38509403578384,-0.688836503494394,-0.0967328140094767,-0.715503755963359,1.22188644155142,0.863041208913209,0.836569338985685,-0.0589947111707569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR3_Nov20_1_01_24971,0.97451508576105,1.63675917771678,0.895085280630119,0.525944427240447,1.94815188330345,0.914393314753564,-0.426708498188017,1.99231821072931,1.22327264432642,1.73100424007725,0.0599783113890184,-0.377882397210592,-0.576994568488984,1.16783882614602,0.557752804079654,1.25450004001959,0.80061320747402,-0.271490954047141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR6_Nov20_1_01_24958,-0.256662410947067,0.935885879559349,0.121292773552859,-0.600737235177128,1.38302671318576,1.65259722266429,0.334332823843987,1.11975390601008,0.480561593447284,2.15256626024733,-0.954247749419301,-1.11094071735266,-1.82545705636071,0.337948605293847,-0.257543197832596,-0.666876856865051,-1.94190158771986,-0.844575798511376,-0.803555103552306,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR7_Nov20_1_01_24945,-1.53301124663406,1.1595000530726,-0.298763831466542,0.888482589634924,1.65001597502942,0.946626422344807,-0.889220996583624,1.23499500057676,0.704191762398087,1.54595949088624,-1.36887994856885,-2.15784446136096,-2.26980901875286,1.86536092759197,0.998381328280869,-0.605268601395436,-0.669692830792025,-1.14657135495922,1.35350882010119,-0.561070065008205,NA,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR8_Nov20_1_01_24957,1.10047935649129,1.63597058540195,1.02998399643034,-0.568989787739982,2.68128135626182,2.50869703203461,0.726265853021134,1.32164684976934,0.661355369374742,0.52404603295296,0.0322062787993939,-0.473439444286827,-1.38325182488513,0.278517234948931,-0.821448870688783,1.80151436340302,0.901674726341384,0.551832091100971,0.112407680823481,-0.289860755509614,0.977429873197703,NA,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR9_Nov20_1_01_24956,-1.08924109734612,0.30426713939636,-0.0674797634498803,-0.358364234224087,1.36489856008172,0.890772022526815,0.314634564538059,0.372894922987864,0.0838992843002655,1.07024517928587,-2.26190684031659,-1.89952029052323,-2.21771278884968,-0.445667678663925,0.337218869646491,-1.10742329116694,-1.16163889148527,-0.702612241676629,-0.0597271560948351,-1.98978422264184,-1.27489371825124,-0.427841503997266,NA,NA,NA,NA,NA,NA
Stegen_River_at_ICR10_Nov20_1_01_24964,1.57449586768701,0.867600251338509,1.33878671873185,1.00163575993385,1.26834929299687,2.29166337831579,2.10322990591313,1.52080430224115,1.12978383476758,1.32841722085842,1.10228151511999,0.535751438340835,0.677733337092695,-1.20906428323336,0.0312842909845843,2.30724807262695,0.155085835194395,0.376462096551959,0.871362233933224,0.0844880495130533,1.41341698260479,0.303122494115343,-0.666647086928168,NA,NA,NA,NA,NA
Stegen_ICR_1_pp1_Nov20_1_01_24967,-1.77612796736117,1.98223035597192,1.0384620966622,3.89272708188662,1.96575520359897,1.87322761549202,-1.07705904281999,1.5173561833226,2.42267486435029,3.72836270300269,-0.0936606965869783,-2.03781620424676,-0.738628207946143,2.75308502437269,1.09368978462417,0.773476922186141,-0.127690432520794,0.423291382144528,2.55772638262722,-0.359600031298618,-1.34647722277334,1.88927150854551,-1.07149468167309,1.9177195614673,NA,NA,NA,NA
Stegen_ICR_2_pp1_Nov20_1_01_24953,-1.16298161589624,0.744298192836194,0.0456678284335534,1.2656616543397,2.27744333566925,2.48891624440938,-0.597661631824759,1.80382880767292,1.42057413988813,0.838166834408269,0.0899261388683664,-1.72485689226446,-0.92070215206039,1.31393708491733,0.574185507703641,-0.349328296039921,-0.535260441262714,0.0925712003315251,1.09824645397098,-0.879140823630748,-2.49432188092347,0.205122289143598,-0.572392328436394,1.74055366506347,-1.27803974714577,NA,NA,NA
Stegen_ICR_3_pp1_Nov20_1_01_24944,-1.57262335024701,1.66653894773558,2.857962675284,4.27146207695482,4.22211750370773,2.68594282268206,1.01548781674542,3.93287725780289,1.52152584851057,3.43850033477282,-0.268589073982184,-1.52877638618571,-1.5597973491653,2.55461886648053,1.39879524495231,-1.28091723263654,0.639921405165063,0.516467164060963,2.35723930353424,-0.35908089890809,-2.26249023284762,2.01375576720183,-0.926354077221679,3.49015012921703,-1.45114116827281,-2.94853944926989,NA,NA
Stegen_ICR_4_pp1_Nov20_1_01_24961,-1.11786344962021,1.65260162327956,-0.660827027144008,0.253532564614871,0.167239613299093,0.949740766891307,-1.32693959923207,-1.01686725286377,0.968035884440891,1.74014940020081,-1.67281212160006,-2.48001744012155,-1.62800635650313,1.07039822525509,0.713833549641644,0.421086625936594,-1.0548942774574,-1.21440175989672,-0.970620401336197,-1.22233415557277,-1.87107852342798,-1.00895994295551,-1.46906470426311,0.544600567663284,-1.12699465676692,-1.3612720958342,-0.67991387562149,NA
