,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
200.1701321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1070631.1,0,0,0,0,0
200.1716921,0,0,0,0,0,0,0,0,1100637.9,0,0,0,0,0,0,0,0,0,0,0,0,0
200.1796231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191066,0,0,0
200.3250274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101174.8,0,0,0,0,0
200.3939895,0,0,0,0,0,0,0,0,0,1026976.3,0,0,0,0,0,0,0,0,0,0,0,0
200.6786265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063083.1,0
200.7942148,0,0,0,0,0,0,0,0,0,0,1027748.2,0,0,0,0,0,0,0,0,0,0,0
200.9029808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045595.8,0,0
200.9511781,2634606.3,0,1145930.9,0,2093972.6,1940629.9,1830594,2905598.3,2002011,2442446,1506030.6,0,1032861.4,0,1320230.6,1115063,0,1101297,1252710.4,0,1211270.9,0
200.9513107,0,0,0,0,0,0,0,0,0,0,0,1332817.6,0,0,0,0,0,0,0,0,0,0
200.9892457,1155439.8,1824047.9,0,1055541.6,1634199.5,1730712.8,1684932.9,2720512.8,1500509.9,2261457.3,2101105,0,0,0,1181607.1,1152953.5,1256119.8,1439602.6,0,0,0,0
201.0168434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019687.4,0,0,0,0,0,0,0
201.0765682,0,1038262.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
