,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
200.1701321,0,0,0,0,0,0,0,0,,None,201.1774086,0,0,NA,NA,NA,NA,NA,NA,199.94662034226,0.0533796577397538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.1716921,0,0,0,0,0,0,0,0,,None,201.1789686,0,0,NA,NA,NA,NA,NA,NA,199.94817860035,0.0518213996496968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.1796231,0,0,0,0,0,0,0,0,,None,201.1868996,0,0,NA,NA,NA,NA,NA,NA,199.956100744525,0.0438992554751394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.3250274,0,0,0,0,0,0,0,0,,None,201.3323039,0,0,NA,NA,NA,NA,NA,NA,200.101342684784,0.898657315215502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.3939895,0,0,0,0,0,0,0,0,,None,201.4012659,0,0,NA,NA,NA,NA,NA,NA,200.170227781088,0.829772218912439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.6786265,0,0,0,0,0,0,0,0,,None,201.685903,0,0,NA,NA,NA,NA,NA,NA,200.454546952871,0.545453047129456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.7942148,0,0,0,0,0,0,0,0,,None,201.8014912,0,0,NA,NA,NA,NA,NA,NA,200.570006185942,0.429993814057866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.9029808,0,0,0,0,0,0,0,0,,None,201.9102573,0,0,NA,NA,NA,NA,NA,NA,200.678650736855,0.321349263145152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.9511781,0,0,0,0,0,0,0,0,,None,201.9584546,0,0,NA,NA,NA,NA,NA,NA,200.726794219319,0.273205780680911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.9513107,0,0,0,0,0,0,0,0,,None,201.9585872,0,0,NA,NA,NA,NA,NA,NA,200.726926671257,0.273073328743237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
