OTU ID	ICR_10_pp1	ICR_10_pp2	ICR_10_pp3	ICR_4_pp1	ICR_5_pp1	ICR_6_pp1	ICR_6_pp2	ICR_6_pp3	ICR_7_pp1	ICR_7_pp2	ICR_7_pp3	ICR_8_pp1	ICR_8_pp2	ICR_8_pp3	ICR_9_pp2	ICR_9_pp3	River_at_ICR10	River_at_ICR2_1	River_at_ICR2_2	River_at_ICR3	River_at_ICR7	River_at_ICR8	River_at_ICR9	taxonomy
OTU_1	0	80	0	864	3	105	0	1327	184	0	450	0	0	0	0	125	227	1569	1294	36	101	0	141	"k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__LD12_freshwater_group,g__?,s__?"
OTU_10	0	17	5	180	3	29	0	450	67	0	123	0	0	0	0	26	37	503	470	7	10	0	37	"k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__Candidatus_Methylopumilus,s__?"
OTU_100	0	0	76	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	8	19	0	1	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,f__?,g__?,s__?"
OTU_1000	0	1	0	15	2	3	0	6	0	0	15	0	0	0	0	8	0	2	6	0	27	0	0	"k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__?"
OTU_1001	0	0	0	10	0	0	0	4	0	0	9	0	0	0	0	0	0	0	0	2	0	0	0	"k__Bacteria,p__Verrucomicrobia,c__OPB35_soil_group,o__?,f__?,g__?,s__?"
OTU_1002	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria,p__Ca._Parcubacteria,c__?,o__?,f__?,g__?,s__?"
OTU_1003	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"k__Bacteria,p__Ca._Dependentiae_(TM6),c__?,o__?,f__?,g__?,s__?"
OTU_1004	0	3	0	0	8	3	0	0	0	0	0	0	0	0	0	2	4	0	0	12	10	0	7	"k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira_(Nitrospiraceae),s__?"
OTU_1005	0	0	4	0	7	4	0	0	0	0	0	0	0	0	0	2	2	0	0	5	4	0	1	"k__Bacteria,p__Elusimicrobia,c__Elusimicrobia_(class),o__Lineage_IIb,f__?,g__?,s__?"
OTU_1006	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Bacteria,p__Ca._Parcubacteria,c__?,o__?,f__?,g__?,s__?"
OTU_1007	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Archaea,p__Ca._Diapherotrites,c__?,o__?,f__?,g__?,s__?"
