,ICR_10_pp1,ICR_10_pp2,ICR_10_pp3,ICR_4_pp1,ICR_5_pp1,ICR_6_pp1,ICR_6_pp2,ICR_6_pp3,ICR_7_pp1,ICR_7_pp2,ICR_7_pp3,ICR_8_pp1,ICR_8_pp2,ICR_8_pp3,ICR_9_pp2,ICR_9_pp3,River_at_ICR10,River_at_ICR2_1,River_at_ICR2_2,River_at_ICR3,River_at_ICR7,River_at_ICR8,River_at_ICR9
ICR_10_pp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_10_pp2,0.655327092635924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_10_pp3,-2.93235941210831,3.91320986310899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_4_pp1,-1.57281506938651,6.8997866350757,0.52795017710572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_5_pp1,0.894551305400512,2.85434342321229,3.25035294243986,6.68697255966994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_6_pp1,-2.0061817907764,2.19127458283355,-0.366273021863515,0.491807314659373,1.86481761350937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_6_pp2,-2.25235032036213,0.759054254534557,-1.96030411189778,-0.836004931021842,0.64252416374849,-1.33985619275368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_6_pp3,-1.06125806448699,5.24444927381565,0.432382682824813,-3.41508006650906,5.12732975706738,-1.32780652123928,-0.706935291414797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_7_pp1,-1.21864109765348,4.55140852682979,1.41375325375815,-6.21285178810467,5.33523036298147,-0.268621888765871,-0.711086139613833,-2.77220540494912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_7_pp2,-1.07019805916996,-0.620205251707043,-1.47321638176098,-1.21181618423988,-0.538851670260196,-1.19879194218832,-1.70093111417384,-1.25556520082303,-1.10936807961235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_7_pp3,-1.93035715836599,8.56575867744035,2.77731996309453,0.0661033686693938,8.15943405420549,1.96041825018795,-0.195317159026532,-1.92861019003863,-3.51208378874787,-0.849608988454973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICR_8_pp1,-2.89682603144523,-0.588602283065361,-2.69742280574343,-2.19969128289946,-0.173107276728912,-3.39747610626207,-0.775181360264382,-1.46789074730985,-1.48519797674339,-0.766345073973184,-1.81097160593064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
