Name,Mass
CH4_O,0.03638
NH_CH2,0.99525
2ndIP,1.997
Na_H,21.98194
CH3COO-,59.013305
PO43-,94.953423
SO42-,95.951732
NO3-,61.987819
NH4+,18.034374
H2S,33.987722
S2O32-,111.928889
Alanine,71.03711384
Arginine,156.1011111
Asparagine,114.0429275
Aspartic Acid,115.0269431
Cysteine,103.0091856
Cystine,222.0132859
Glutamic Acid,129.0425932
Glutamine,128.0585776
Glycine,57.02146376
Histidine,137.0589119
Isoleucine,113.0840641
Lysine,128.0949631
Methionine,131.0404858
Phenylalanine,147.068414
Proline,97.05276391
Serine,87.03202848
Threonine,101.0476785
Tryptophan,186.079313
Tyrosine,163.0633286
Valine,99.06841398
acetotacetate (-H2O),84.02112943
acetone (-H),57.03403983
adenylate (-H2O),329.0525217
biotinyl (-H),243.0803393
biotinyl (-H2O),226.0775996
carbamoyl P transfer (-H2PO4),44.01363872
co-enzyme A (-H),765.0995656
co-enzyme A (-H2O),748.0968259
glutathione (-H2O),289.0732426
isoprene addition (-H),67.05477526
malonyl group (-H2O),86.00039399
palmitoylation (-H2O),238.2296658
pyridoxal phosphate (-H2O),229.0140109
urea addition (-H),59.02453777
adenine (-H),134.0466702
adenosine (-H2O),249.0861894
Adenosine 5'-diphosphate (-H2O),409.0188541
cytidine 5' diphosphate (-H2O),385.0076207
cytidine 5' monophsophate (-H2O),305.0412884
cytosine (-H),110.0354368
Guanosine 5- diphosphate (-H2O),425.0137687
Guanosine 5- monophosphate (-H2O),345.0474364
guanine (-H),150.0415848
guanosine (-H2O),265.081104
deoxythymidine 5' diphosphate (-H2O),384.0123717
thymidine (-H2O),224.079707
thymine (-H),125.0351025
thymidine 5' monophosphate (-H2O),304.0460394
uridine 5' diphosphate (-H2O),385.9916363
uridine 5' monophosphate (-H2O),306.0253039
uracil (-H),111.0194524
uridine (-H2O),226.0589716
acetylation (-H),59.01330439
acetylation (-H2O),42.01056471
C2H2,26.01565
Carboxylation,43.98982928
CHO2,44.99765432
condensation/dehydration,18.01056471
diphosphate,160.9404898
ethyl addition (-H2O),28.03130015
Formic Acid (-H2O),27.99491464
glyoxylate (-H2O),55.98982928
hydrogenation/dehydrogenation,2.015650074
hydroxylation (-H),15.99491464
Inorganic Phosphate,30.9737634
methanol (-H2O),14.01565007
phosphate,79.96633236
primary amine,16.01872408
pyrophosphate,61.9475268
secondary amine,15.01089905
sulfate (-H2O),79.95681572
tertiary amine,14.00307401
C6H10O5,162.0528236
C6H10O6,178.0477382
D-Ribose (-H2O) (ribosylation),132.0422589
disaccharide (-H2O),340.1005618
glucose-N-Phosphate (-H2O),242.0191559
Glucuronic Acid (-H2O),176.0320881
trisaccharide (-H2O),486.1584707
erythose (-H2O),102.031695
transamination (-O),2.039459
H2N1O_1,0.023809
C_1H_5N_1O2,0.947631
H_1O1N_1,0.984016
C_1H_1N1,0.995249
C12_C13,1.0033554
H1,1.007825
H3N1O_3S1,1.013876
H3O_1N1,1.031634
H_2N_2O2,1.968032
H_1O_2Cl1,1.9712
C_1H_2O1,1.979265
N_1O1,1.991841
H_1O_1F1,1.9957
H2,2.01565
CH6O_1,2.052035
H_3N_3O3,2.952048
C_1H1N1O_2S1,2.993141
H1O1N_1,2.999666
H3,3.023475
H5O_1N1,3.047284
C_1O1,3.994915
H4,4.0313
H3N_1O1,5.015316
C4H6N1O_2P_1,5.086431
C_2H_2O2,5.97418
H_4N3O_2,5.988092
C2H_2O_1,5.989435
C_1H2O,6.010565
C3H2O_2,6.02582
H6,6.04695
C_1H1N_1S1,6.976823
H5O1N_1,7.030966
CH_4,7.9687
C_2O2,7.98983
C2O_1,8.005085
C_1H4O,8.026215
C3H4O_2,8.04147
H8,8.0626
C_2N_1O1P1,8.965604
C1H_1N1O_1,9.000334
C2H3N1O_2,9.036719
H_6O1,9.947965
C_3H_2O3,9.969095
H_2C1,9.98435
C_2H2O2,10.00548
C2H2O_1,10.020735
H10,10.07825
N1H_3,10.979599
C1H_1,10.992175
C1H1N1O_1,11.015984
H_4O1,11.963615
C1,12
C2H4O_1,12.036385
H_3O1,12.97144
CH_1N_1O,12.984016
H_1N1,12.995249
CH,13.007825
C1H3N1O_1,13.031634
C_1H_6O2,13.94288
H_2O1,13.979265
N1,14.003074
CH2,14.01565
H2N2O_1,14.026883
